NAME                                 VERSION                             TYPE        
acl-libs                             2.3.2-r1                            apk          
alpine-baselayout                    3.7.0-r0                            apk          
alpine-baselayout-data               3.7.0-r0                            apk          
alpine-keys                          2.5-r0                              apk          
ansible                              11.6.0                              python       
ansible                              11.6.0-r0                           apk          
ansible-core                         2.18.6                              python       
ansible-core                         2.18.6-r0                           apk          
ansible-core-pyc                     2.18.6-r0                           apk          
ansible-pyc                          11.6.0-r0                           apk          
apk-tools                            2.14.9-r3                           apk          
bash                                 5.2.37-r0                           apk          
bcrypt                               4.3.0                               python       
brotli-libs                          1.1.0-r2                            apk          
busybox                              1.37.0-r19                          apk          
busybox-binsh                        1.37.0-r19                          apk          
c-ares                               1.34.5-r0                           apk          
ca-certificates                      20250911-r0                         apk          
ca-certificates-bundle               20250911-r0                         apk          
catatonit                            0.2.1-r0                            apk          
cffi                                 1.17.1                              python       
coreutils                            9.7-r1                              apk          
coreutils-env                        9.7-r1                              apk          
coreutils-fmt                        9.7-r1                              apk          
coreutils-sha512sum                  9.7-r1                              apk          
cryptography                         44.0.3                              python       
curl                                 8.14.1-r2                           apk          
findutils                            4.10.0-r0                           apk          
gdbm                                 1.24-r0                             apk          
github.com/a8m/envsubst              v1.4.2                              go-module    
github.com/alecthomas/participle/v2  v2.1.1                              go-module    
github.com/dimchansky/utfbom         v1.1.1                              go-module    
github.com/elliotchance/orderedmap   v1.7.1                              go-module    
github.com/fatih/color               v1.18.0                             go-module    
github.com/goccy/go-json             v0.10.4                             go-module    
github.com/goccy/go-yaml             v1.13.3                             go-module    
github.com/jinzhu/copier             v0.4.0                              go-module    
github.com/magiconair/properties     v1.8.9                              go-module    
github.com/mattn/go-colorable        v0.1.13                             go-module    
github.com/mattn/go-isatty           v0.0.20                             go-module    
github.com/mikefarah/yq/v4           v0.0.0-20250112031739-8bf425b4d134  go-module    
github.com/pelletier/go-toml/v2      v2.2.3                              go-module    
github.com/spf13/cobra               v1.8.1                              go-module    
github.com/spf13/pflag               v1.0.5                              go-module    
github.com/yuin/gopher-lua           v1.1.1                              go-module    
golang.org/x/net                     v0.33.0                             go-module    
